record_date,price,weight_grams,general_cpi,food_cpi
2020-09-01,144.0,840.0,156.4,161.6
2020-10-01,129.6,840.0,158.4,165.5
2020-11-01,131.175,840.0,158.9,166.0
2020-12-01,132.4,840.0,157.3,160.6
2021-02-01,133.0,840.0,156.6,155.5
2021-03-01,133.0,840.0,156.8,155.0
2021-04-01,132.0,840.0,157.8,156.4
2021-05-01,137.66666666666666,840.0,160.4,159.4
2021-06-01,138.66666666666666,840.0,161.3,161.3
2021-07-01,141.33333333333334,840.0,162.5,162.9
2021-08-01,141.33333333333334,840.0,162.9,162.7
2021-09-01,141.33333333333334,840.0,163.2,162.7
2021-10-01,144.0,840.0,165.5,166.9
2021-11-01,144.0,840.0,166.7,169.1
2021-12-01,152.0,840.0,166.2,167.1
2022-01-01,160.0,840.0,165.7,164.9
2022-02-01,160.0,840.0,166.1,164.6
2022-03-01,159.33333333333334,840.0,167.7,166.9
2022-04-01,158.5,840.0,170.1,169.4
2022-05-01,159.75,840.0,171.7,172.1
2022-06-01,158.0,840.0,172.6,173.8
2022-07-01,158.0,840.0,173.4,173.8
2022-08-01,159.2,840.0,174.3,175.1
2022-09-01,159.2,840.0,175.3,176.7
2022-10-01,159.8181818181818,840.0,176.7,178.6
2022-11-01,158.2,840.0,176.5,177.0
2022-12-01,160.0,840.0,175.7,174.1
2023-01-01,159.25,840.0,176.5,174.8
2023-02-01,160.0,840.0,176.8,174.4
2023-03-01,159.42857142857142,840.0,177.2,174.9
2023-06-01,156.42857142857142,840.0,181.0,181.7
